coalition,value,iteration
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9624,16
"(2, 6, 3, 8, 7, 1, 0, 4, 5, 9)",0.9657,17
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9672,17
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9642,17
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.964,17
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9631,17
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9647,17
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9673,17
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9658,17
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9647,17
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9661,17
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9658,17
"(2, 8, 3, 7, 0, 9, 6, 1, 4, 5)",0.967,18
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9675,18
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9639,18
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9653,18
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9658,18
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9665,18
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9666,18
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9655,18
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9676,18
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9649,18
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9672,18
"(0, 5, 9, 1, 6, 8, 4, 2, 7, 3)",0.9668,19
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9669,19
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9671,19
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.967,19
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9677,19
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9654,19
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9646,19
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9661,19
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9681,19
