coalition,value,iteration
"(6, 1, 4, 7, 9, 0, 5, 3, 2, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.8208,8
"(6, 1, 4, 7, 9, 8, 5, 3, 2, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.6914,8
"(6, 1, 4, 7, 9, 8, 0, 3, 2, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.809,8
"(6, 1, 4, 7, 9, 8, 0, 5, 2, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.8413,8
"(6, 1, 4, 7, 9, 8, 0, 5, 3, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.7499,8
"(8, 1, 7, 9, 3, 2, 4, 5, 6, 0)",0.8121,9
"(1, 7, 9, 3, 2, 4, 5, 6, 0, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.8398,9
"(8, 7, 9, 3, 2, 4, 5, 6, 0, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.7557,9
"(8, 1, 9, 3, 2, 4, 5, 6, 0, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.8298,9
"(8, 1, 7, 3, 2, 4, 5, 6, 0, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.8182,9
"(8, 1, 7, 9, 2, 4, 5, 6, 0, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.841,9
"(8, 1, 7, 9, 3, 4, 5, 6, 0, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.725,9
"(8, 1, 7, 9, 3, 2, 5, 6, 0, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.8067,9
"(8, 1, 7, 9, 3, 2, 4, 6, 0, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.8251,9
"(8, 1, 7, 9, 3, 2, 4, 5, 0, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.8244,9
"(8, 1, 7, 9, 3, 2, 4, 5, 6, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.7581,9
"(7, 9, 1, 0, 8, 2, 4, 5, 6, 3)",0.8145,10
